nb_hab;nb_fam;name;ar_name;;;;;;
100;22;Anzgarn;أنزكارن;;;;;;
64;19;Lazan;لازان;;;;;;
54;13;Iɣir Islgan;إغير إسلكان;;;;;;
35;8;Untud;ونتود;;;;;;
20;5;Tiruf;تروف;;;;;;
28;8;Iɣil Iblaɣn;إغيل إبلاغن;;;;;;
40;15;Agṛḍ Uẓṛu;أكرض أوزرو;;;;;;
14;5;Agni ;أكني ;;;;;;
10;4;Allyun;الليون;;;;;;
42;12;Agṛḍ Alma;أكرض الما;;;;;;
58;13;Imi Undrat;إمي وندرات;;;;;;
88;26;Tidnɣi Undrat;تدنغي وندرات;;;;;;
19;7;Mzgn;مزكن;;;;;;
31;8;Tawrirt Imrkn;توريرت إمركن;;;;;;
29;7;Iɣir Ifr;إغير إفر;;;;;;
46;14;Tiɛi;تيعي;;;;;;
22;6;Maɣust;ماغوست;;;;;;
76;20;Anammr;أنامر ;;;;;;
17;4;Tifrt;تيفرت;;;;;;
54;14;Idls;إدالس;;;;;;
55;14;Taltmsn;تالتمسن;;;;;;
5;2;Ibnnawn;إبناون;;;;;;
57;21;Tagḍict;تاكضيشت;;;;;;
17;6;Imi n Tɣzut;إمي نتغزوت;;;;;;
35;13;Alma;ألما;;;;;;
9;4;Ayt Naṣṛ;آيت ناصر;;;;;;
