nb_hab;nb_fam;ar_name;shi_name;taqbilt;shi_taqbilt;tagrawt;shi_tagrawt;nb_hab_2014;nb_fam_2014;;;;;
36;15;توضاض;Duḍaḍ;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
42;11;أسلدرار;Asldrar;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
39;10;أيوفييس;Ayufis;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
25;8;تكديرت;Tagadirt;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
4;1;تسكينت;Tisgnit;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
21;8;أسفركيس;Asɣrkis;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
66;17;إزوكاين;Izugayn;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
20;8;تيوليت;Tiwliyt;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
21;6;آيت بن علي;Ayt Bn Ɛli;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
18;3;آيت الطالب;Ayt Ṭalb;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
20;7;تمجلوجت;Tamjluct;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
153;46;إفولوسن;Ifullusn;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;179;56;;;;;
76;22;تيكياس;Tigissas;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
139;30;إدارنو;Adarnu;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
77;20;تيكمي واف;Tigmmi Waf;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
115;44;سوق الخميس المركز;Lxmis;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
185;46;آيت سحنون;Ayt Sḥnun;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;123;37;;;;;
98;33;أمز أوخسان;Amzxsan;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
189;48;تمايلت;Tamaylt;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;151;50;;;;;
43;10;تيفرادين;Tifṛaḍn;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
10;5;تاريكيت;Tarikit;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
6;2;آيت بنعيسن;Ayt Bn Ɛis;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
25;5;تازكا إيرغ;Taẓkka Irɣ;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
97;29;أكرض نتزاك;Agṛḍ n Tzak;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
66;17;توريرت إيزغ;Tawrirt Irɣ;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
49;11;آيت تمزكيد;Ayt Tmzgid;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
109;29;تغزوت إيرغ;Taɣazut Irɣ;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
47;11;تالكزاوت;Talgzawt;آيت واسيفاد;Ayt Wasifad;إذا وكنيظيف;Idaw Ggʷniḍif;;;;;;;
22;4;ويت أو الروين;Wit Walrwin;آيت واسيفاد;Ayt Wasifad;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
15;4;إمي أوكلاكال;Imi u Aglagal;آيت واسيفاد;Ayt Wasifad;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
45;9;زاوية سيدي يعقوب;Zawiyat Sidi Yaɛqub;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
63;13;آيت العاليم;Ayt Lɛalim;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
19;4;تين بيكيضو;Tin Bikiḍu;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
35;9;تافرييونت;Tafryunt;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
67;16;إكرامن;Igʷrramn;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
17;4;إكيوضن;Ikiyuḍn;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
1;1;إمشيون;Imucciwn;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
26;7;آيت أومزيل;Ayt Umzil;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
62;17;ثلاث موس;Tlat Mus;آيت وافاياض;Ayt Wafayaḍ;إدا وكنضيف;Idaw Ggʷniḍif;;;;;;;
